F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_09_808.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_09_808.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_09_808.jpg, 0, 0, 0, 7.902525E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_09_990.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_09_990.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_09_990.jpg, 0, 0, 0, 7.841746E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_092.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_092.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_092.jpg, 0, 0, 0, 7.891489E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_194.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_194.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_194.jpg, 0, 0, 0, 7.869781E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_313.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_313.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_313.jpg, 0, 0, 0, 7.792576E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_422.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_422.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_422.jpg, 0, 0, 0, 7.874311E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_529.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_529.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_529.jpg, 0, 0, 0, 7.824162E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_664.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_664.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_664.jpg, 0, 0, 0, 7.758186E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_773.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_773.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_773.jpg, 0, 0, 0, 7.845257E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_10_936.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_10_936.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_10_936.jpg, 0, 0, 0, 7.800007E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_052.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_052.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_052.jpg, 0, 0, 0, 7.807263E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_162.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_162.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_162.jpg, 0, 0, 0, 7.94822E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_264.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_264.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_264.jpg, 0, 0, 0, 7.831985E-05
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_419.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_419.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_419.jpg, 0, 0.4484085, 0, 0.8684264
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_521.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_521.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_521.jpg, 0, 0.7384146, 0, 1.72704
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_633.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_633.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_633.jpg, 0, 1, 0, 3.113356
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_745.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_745.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_745.jpg, 0, 1, 0, 4.28891
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_856.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_856.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_856.jpg, 0, 0.6703372, 0, 5.222997
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_11_960.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_11_960.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_11_960.jpg, 0, 0.3529114, 0, 5.663062
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_109.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_109.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_109.jpg, 0, 0, 0, 5.589817
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_271.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_271.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_271.jpg, -0.4831779, 0.4831779, 0, 6.312329
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_371.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_371.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_371.jpg, -0.1738185, 0.7925373, 0, 7.14578
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_568.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_568.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_568.jpg, 0, 1, 0, 9.157233
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_680.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_680.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_680.jpg, 0, 1, 0, 10.49466
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_802.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_802.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_802.jpg, 0, 1, 0, 11.65427
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_12_911.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_12_911.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_12_911.jpg, 0, 1, 0, 13.15044
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_13_073.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_13_073.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_13_073.jpg, 0, 1, 0, 14.63819
F:\Self-driving-car\Data\IMG\center_2020_08_31_15_09_13_248.jpg, F:\Self-driving-car\Data\IMG\left_2020_08_31_15_09_13_248.jpg, F:\Self-driving-car\Data\IMG\right_2020_08_31_15_09_13_248.jpg, -0.5224047, 1, 0, 16.32185
